Type,Azide1,Azide2,variable,value,C
Did not dissolved,Cys,LysArg,A3_%,4.42564668382984,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,A3_%,4.373892900940183,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,A3_%,8.529987337400712,Cys-Did not dissolved
Dissolved,Cys,LysArg,A3_%,27.671154397020914,Cys-Dissolved
Dissolved,Cys,LysArg,A3_%,15.378810745547842,Cys-Dissolved
Dissolved,Cys,LysArg,A3_%,16.080921441228586,Cys-Dissolved
Did not dissolved,Cys,LysArg,A2B_%,12.149074414613217,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,A2B_%,11.227687695871372,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,A2B_%,6.699666167836998,Cys-Did not dissolved
Dissolved,Cys,LysArg,A2B_%,9.42423374391292,Cys-Dissolved
Dissolved,Cys,LysArg,A2B_%,14.760036220947779,Cys-Dissolved
Dissolved,Cys,LysArg,A2B_%,14.663319551092735,Cys-Dissolved
Did not dissolved,Cys,LysArg,AB2_%,58.08508029912959,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,AB2_%,62.03842485352228,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,AB2_%,56.555772994129164,Cys-Did not dissolved
Dissolved,Cys,LysArg,AB2_%,60.02578057863077,Cys-Dissolved
Dissolved,Cys,LysArg,AB2_%,66.64654391789918,Cys-Dissolved
Dissolved,Cys,LysArg,AB2_%,66.92262256349674,Cys-Dissolved
Did not dissolved,Cys,LysArg,B3%,25.34019860242736,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,B3%,22.35999454966617,Cys-Did not dissolved
Did not dissolved,Cys,LysArg,B3%,28.21457350063313,Cys-Did not dissolved
Dissolved,Cys,LysArg,B3%,2.8788312804354064,Cys-Dissolved
Dissolved,Cys,LysArg,B3%,3.2146091156051972,Cys-Dissolved
Dissolved,Cys,LysArg,B3%,2.333136444181923,Cys-Dissolved
