Time,Azide_1,Type,Conversion
0,Arg,pSS,0.0
1,Arg,pSS,30.40255073837162
2,Arg,pSS,32.6196398957593
4,Arg,pSS,57.75685066729842
8,Arg,pSS,76.90416962805024
16,Arg,pSS,100.43038774382057
0,Arg,pSS,0.0
1,Arg,pSS,27.40957908868355
2,Arg,pSS,32.77067045723762
4,Arg,pSS,47.92900576482666
8,Arg,pSS,73.89342967701177
16,Arg,pSS,103.61782358051015
0,Cys,pSS,0.0
1,Cys,pSS,67.06123416649733
2,Cys,pSS,103.96148027726977
4,Cys,pSS,115.92494750389488
8,Cys,pSS,117.69344532502429
16,Cys,pSS,118.2714669556775
0,Cys,pSS,0.0
1,Cys,pSS,71.88410214726004
2,Cys,pSS,104.05969879654091
4,Cys,pSS,114.53690532637901
8,Cys,pSS,116.99293278240648
16,Cys,pSS,117.07647497121184
0,Gly,pSS,0.0
1,Gly,pSS,30.75431818818062
2,Gly,pSS,70.62932168752275
4,Gly,pSS,89.32000783852637
8,Gly,pSS,109.66518294560623
16,Gly,pSS,111.84947229920775
0,Gly,pSS,0.0
1,Gly,pSS,41.64077153495143
2,Gly,pSS,58.495002939447396
4,Gly,pSS,106.41569384955629
8,Gly,pSS,111.10201282158955
16,Gly,pSS,114.13524257439602
0,kArg,pSS,0.0
1,kArg,pSS,19.351968909491042
2,kArg,pSS,21.656833824975436
4,kArg,pSS,43.18022194128389
8,kArg,pSS,63.581027297841466
16,kArg,pSS,98.49112703095004
0,kArg,pSS,0.0
1,kArg,pSS,17.745938099920405
2,kArg,pSS,53.54567589080865
4,kArg,pSS,66.04157887343729
8,kArg,pSS,88.54005712412794
16,kArg,pSS,101.23144636418975
0,Arg,no_pSS,0.0
1,Arg,no_pSS,11.964886964886974
2,Arg,no_pSS,67.63329263329264
4,Arg,no_pSS,94.75986975986976
8,Arg,no_pSS,94.70899470899471
16,Arg,no_pSS,96.80042180042182
0,Arg,no_pSS,0.0
1,Arg,no_pSS,22.60332260332261
2,Arg,no_pSS,75.46250046250047
4,Arg,no_pSS,99.76134976134978
8,Arg,no_pSS,101.58822658822659
16,Arg,no_pSS,101.35142635142635
0,Gly,no_pSS,0.0
1,Gly,no_pSS,25.513874614594034
2,Gly,no_pSS,80.62835445928971
4,Gly,no_pSS,94.87267328993948
8,Gly,no_pSS,95.46362909672263
16,Gly,no_pSS,95.07536827680713
0,Gly,no_pSS,0.0
1,Gly,no_pSS,31.59115564691104
2,Gly,no_pSS,79.53779833276236
4,Gly,no_pSS,93.84064177229646
8,Gly,no_pSS,97.27004110996917
16,Gly,no_pSS,97.17725819344525
0,Cys,no_pSS,0.0
1,Cys,no_pSS,6.2677154195011475
2,Cys,no_pSS,17.184547430083132
4,Cys,no_pSS,54.97212773998488
8,Cys,no_pSS,70.4819775132275
16,Cys,no_pSS,75.85801681783826
0,Cys,no_pSS,0.0
1,Cys,no_pSS,6.117724867724872
2,Cys,no_pSS,28.462183484504905
4,Cys,no_pSS,62.05239040060469
8,Cys,no_pSS,72.72297808012094
16,Cys,no_pSS,76.19992441421014
0,kArg,no_pSS,0.0
1,kArg,no_pSS,4.1879944160074505
2,kArg,no_pSS,67.35691019078641
4,kArg,no_pSS,90.59123106354377
8,kArg,no_pSS,91.06044154904092
16,kArg,no_pSS,91.04234527687296
0,kArg,no_pSS,0.0
1,kArg,no_pSS,4.507264360684539
2,kArg,no_pSS,63.499819037278314
4,kArg,no_pSS,80.87999586370923
8,kArg,no_pSS,87.7565792875239
16,kArg,no_pSS,88.16762318390984
