Sample,Type,Abs_600nm,Type_2,Abs-Blank,mM_Cu,Partioning
3.0,Cu,0.2246,Pellet,0.07496666666666663,1.017601013528799,21.56279961649088
3.0,Cu,0.2431,Pellet,0.09346666666666664,1.2687208723587164,24.979955456570153
3.0,Cu,0.2504,Pellet,0.10076666666666664,1.3678114112483595,25.548278047749843
4.0,C3,0.1962,Pellet,0.046566666666666645,0.6320980951088183,12.86668201703891
4.0,C3,0.1936,Pellet,0.043966666666666626,0.5968055744083972,13.04003954522985
4.0,C3,0.2519,Pellet,0.10226666666666664,1.3881724808832177,31.163026917216868
5.0,KR3,0.4216,Pellet,0.2719666666666666,3.6916881589068353,166.4252932177461
5.0,KR3,0.3776,Pellet,0.22796666666666662,3.0944301162843306,146.68096514745318
5.0,KR3,0.3382,Pellet,0.18856666666666663,2.5596126872087233,100.4795737122558
