time,Area1,Area2,Cal1,Cal2,mM_1,mM_2,Az_1,Az_2,Ref,Conversion_1,Conversion_2
0.0,,,3.39,6.72,3.2,,KR,KR,HS-F-56-00,0.0,
0.0,,,3.39,6.72,3.2,,KR,KR,HS-F-56-00,0.0,
0.5,11.7712,,3.39,6.72,3.472330383480826,,KR,KR,HS-F-56-00,-10.806761249239125,
1.0,9.8037,,3.39,6.72,2.8919469026548668,,KR,KR,HS-F-56-00,12.224329259727517,
2.0,9.2088,,3.39,6.72,2.7164601769911503,,KR,KR,HS-F-56-00,19.1880882146369,
4.0,9.0625,,3.39,6.72,2.6733038348082596,,KR,KR,HS-F-56-00,20.90064147586272,
8.0,5.7562,,3.39,6.72,1.6979941002949852,,KR,KR,HS-F-56-00,59.603408718452975,
16.0,4.3564,,3.39,6.72,1.2850737463126842,,KR,KR,HS-F-56-00,75.98913705108397,
0.5,13.7104,,3.39,6.72,4.044365781710915,,KR,KR,HS-F-56-00,-33.506578639322,
1.0,10.3829,,3.39,6.72,3.0628023598820056,,KR,KR,HS-F-56-00,5.44435079833312,
2.0,8.9442,,3.39,6.72,2.6384070796460177,,KR,KR,HS-F-56-00,22.285433347380255,
4.0,7.774,,3.39,6.72,2.293215339233038,,KR,KR,HS-F-56-00,35.98351828440325,
8.0,4.8199,,3.39,6.72,1.4217994100294984,,KR,KR,HS-F-56-00,70.56351547501991,
16.0,3.6065,,3.39,6.72,1.0638643067846607,,KR,KR,HS-F-56-00,84.76728941330714,
